Rank,Journal Name,JIF 2024,JIF Quartile,Areas,Publisher,Country,JIF Rank,5-Year JIF,JCI,ISSN,eISSN,Abbreviated Journal,Total Cites,Total Articles,Citable Items,Cited Half-Life,Citing Half-Life,JIF Without Self-Cites,JCR Year
11740,Environmental Economics,1.3,Q3,"Economics, Econometrics and Finance; Energy; Environmental Science; Social Sciences",LLC CPC BUSINESS PERSPECTIVES,Ukraine,332/617,,0.37,1998-6041,1998-605X,ENVIRON ECON,173,31,32,5.9,4.9,1.0,2024
11740,FARMACIA,1.3,Q4,"Pharmacology, Toxicology and Pharmaceutics",SOC STIINTE FARMACEUTICE ROMANIA,Romania,284/352,1.0,0.37,0014-8237,2065-0019,FARMACIA,1342,143,158,5.2,6.4,0.6,2024
11740,Global Health Promotion,1.3,Q4,Medicine,SAGE PUBLICATIONS INC,United Kingdom,315/419,2.1,0.37,1757-9759,1757-9767,GLOB HEALTH PROMOT,1019,60,60,5.6,6.4,1.1,2024
11740,Historical Studies in Education-Canada,1.3,Q2,,CANADIAN HISTORY EDUCATION ASSOC,,348/756,0.5,0.37,0843-5057,1911-9674,HIST STUD EDU-CAN,89,8,8,,25.8,0.6,2024
11740,HUMAN SYSTEMS MANAGEMENT,1.3,Q4,"Business, Management and Accounting",IOS PRESS,Netherlands,319/420,1.6,0.37,0167-2533,1875-8703,HUM SYST MANAGE,660,43,48,4.6,6.5,0.9,2024
11740,INTERNATIONAL JOURNAL OF PSYCHIATRY IN MEDICINE,1.3,Q3,Medicine,SAGE PUBLICATIONS INC,United Kingdom,213/288,1.6,0.37,0091-2174,1541-3527,INT J PSYCHIAT MED,1594,44,48,12.2,7.6,1.2,2024
11740,JOURNAL OF DYNAMIC SYSTEMS MEASUREMENT AND CONTROL-TRANSACTIONS OF THE ASME,1.3,Q3,Computer Science; Engineering; Physics and Astronomy,ASME,United States,65/89,1.3,0.37,0022-0434,1528-9028,J DYN SYST-T ASME,4093,54,54,15.2,7.9,1.3,2024
11740,Open Geosciences,1.3,Q3,Earth and Planetary Sciences; Environmental Science,DE GRUYTER POLAND SP Z O O,Germany,186/258,1.7,0.37,2391-5447,2391-5447,OPEN GEOSCI,1358,148,150,4.2,8.2,1.2,2024
11740,Plant Ecology and Evolution,1.3,Q3,Agricultural and Biological Sciences,SOC ROYAL BOTAN BELGIQUE,Belgium,174/273,1.2,0.37,2032-3913,2032-3921,PLANT ECOL EVOL,577,29,29,7.5,15.3,1.2,2024
11740,Advances in Integrative Medicine,1.3,Q3,Medicine,ELSEVIER,Australia,29/45,1.2,0.36,2212-9588,2212-9596,ADV INTEGR MED,274,49,52,4.2,8.7,1.3,2024
11740,Discover Social Science and Health,1.3,Q4,Medicine; Social Sciences,NATURE PORTFOLIO,Switzerland,315/419,1.2,0.36,,2731-0469,DISCOV SOC SCI HLTH,84,73,81,,6.5,1.3,2024
11740,International Heart Journal,1.3,Q3,Medicine,INT HEART JOURNAL ASSOC,Japan,167/230,1.3,0.36,1349-2365,1349-3299,INT HEART J,2312,138,140,5.8,6.7,1.2,2024
11740,International Journal of Prisoner Health,1.3,Q4,Health Professions; Medicine,EMERALD GROUP PUBLISHING LTD,United Kingdom,315/419,1.3,0.36,1744-9200,1744-9219,INT J PRISON HEALTH,482,0,0,5.6,,1.3,2024
11740,Reumatologia Clinica,1.3,Q4,Medicine,ELSEVIER,Spain,44/58,1.4,0.36,1699-258X,1885-1398,REUMATOL CLIN,1208,68,71,5.8,7.8,1.3,2024
11740,THEORETICAL POPULATION BIOLOGY,1.3,Q3,Agricultural and Biological Sciences,ELSEVIER,United States,146/200,1.4,0.36,0040-5809,1096-0325,THEOR POPUL BIOL,3632,50,50,24.5,16.3,1.2,2024
11740,Wspolczesna Onkologia-Contemporary Oncology,1.3,Q4,Medicine,TERMEDIA PUBLISHING HOUSE LTD,Poland,273/326,2.2,0.36,1428-2526,1897-4309,WSPOLCZESNA ONKOL,1355,35,42,8.1,6.7,1.3,2024
11740,American Journal of Lifestyle Medicine,1.3,Q4,Medicine,SAGE PUBLICATIONS INC,United States,315/419,2.7,0.35,1559-8276,1559-8284,AM J LIFESTYLE MED,2948,88,126,5.7,6.1,1.1,2024
11740,Current Rheumatology Reviews,1.3,Q4,Medicine,BENTHAM SCIENCE PUBL LTD,United Arab Emirates,44/58,1.3,0.35,1573-3971,1875-6360,CURR RHEUMATOL REV,724,46,74,5.7,9.8,1.3,2024
11740,ECOLOGY OF FOOD AND NUTRITION,1.3,Q4,Agricultural and Biological Sciences; Environmental Science; Medicine,TAYLOR & FRANCIS,United Kingdom,91/112,1.7,0.35,0367-0244,1543-5237,ECOL FOOD NUTR,1118,30,32,10.3,7.2,1.2,2024
11740,INTERNATIONAL JOURNAL OF DEVELOPMENTAL BIOLOGY,1.3,Q4,"Biochemistry, Genetics and Molecular Biology; Medicine",UNIV BASQUE COUNTRY UPV-EHU PRESS,Spain,34/39,1.4,0.35,0214-6282,1696-3547,INT J DEV BIOL,3126,15,15,14.8,12.6,1.2,2024
11740,International Journal of Production Management and Engineering,1.3,Q3,"Business, Management and Accounting; Decision Sciences; Engineering","UNIV POLITECNICA VALENCIA, EDITORIAL UPV",Spain,98/175,1.4,0.35,2340-5317,2340-4876,INT J PROD MANAG ENG,155,12,15,3.8,5.6,1.2,2024
11740,NEW ZEALAND MEDICAL JOURNAL,1.3,Q2,Medicine,NEW ZEALAND MEDICAL ASSOC,New Zealand,150/332,1.4,0.35,0028-8446,1175-8716,NEW ZEAL MED J,3121,118,125,7.4,5.4,1.1,2024
11740,Rambam Maimonides Medical Journal,1.3,Q2,Medicine,RAMBAM HEALTH CARE CAMPUS,Israel,150/332,1.6,0.35,2076-9172,2076-9172,RAMBAM MAIMONIDES ME,636,12,20,7,10.8,1.2,2024
11740,STAR Protocols,1.3,Q4,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Neuroscience",ELSEVIER,United States,77/86,1.7,0.35,2666-1667,2666-1667,STAR PROTOC,4694,704,705,3,6.6,1.3,2024
11740,Uspekhi Fiziki Metallov-Progress in Physics of Metals,1.3,Q3,Chemical Engineering; Materials Science; Physics and Astronomy,G V KURDYUMOV INST METAL PHYSICS NAS UKRAINE,Ukraine,59/96,1.2,0.35,1608-1021,2617-0795,USP FIZ METALLOV,178,27,27,3.6,11.7,0.7,2024
11740,ANNALS OF THE MISSOURI BOTANICAL GARDEN,1.3,Q3,Agricultural and Biological Sciences,MISSOURI BOTANICAL GARDEN,United States,174/273,1.5,0.34,0026-6493,2162-4372,ANN MO BOT GARD,2477,11,11,29.9,19.7,1.2,2024
11740,Clinical and Experimental Vaccine Research,1.3,Q4,"Medicine; Pharmacology, Toxicology and Pharmaceutics",KOREAN VACCINE SOC,South Korea,159/183,1.6,0.34,2287-3651,2287-366X,CLIN EXP VACCINE RES,499,28,36,6,6.8,1.3,2024
11740,Cureus Journal of Medical Science,1.3,Q2,,NATURE PORTFOLIO,,150/332,1.3,0.34,,2168-8184,CUREUS J MED SCIENCE,67722,15805,17836,2.5,7.7,1.2,2024
11740,Human Genome Variation,1.3,Q4,"Biochemistry, Genetics and Molecular Biology",NATURE PORTFOLIO,United Kingdom,159/191,1.4,0.34,,2054-345X,HUM GENOME VAR,513,43,45,5.4,8.3,1.3,2024
11740,INTERNATIONAL JOURNAL OF COMPUTATIONAL FLUID DYNAMICS,1.3,Q3,Energy; Engineering; Physics and Astronomy,TAYLOR & FRANCIS,United Kingdom,127/171,1.4,0.34,1061-8562,1029-0257,INT J COMPUT FLUID D,1023,33,33,12,12.5,1.2,2024
11740,International Journal of Image and Data Fusion,1.3,Q4,Computer Science; Earth and Planetary Sciences,TAYLOR & FRANCIS,United Kingdom,49/65,1.9,0.34,1947-9832,1947-9824,INT J IMAGE DATA FUS,449,27,30,7.1,5,1.3,2024
11740,JOURNAL OF ASIAN NATURAL PRODUCTS RESEARCH,1.3,Q3,"Biochemistry, Genetics and Molecular Biology; Chemistry; Medicine; Pharmacology, Toxicology and Pharmaceutics",TAYLOR & FRANCIS,United Kingdom,174/273,1.6,0.34,1028-6020,1477-2213,J ASIAN NAT PROD RES,3499,154,169,9.3,7.6,1.2,2024
11740,JOURNAL OF CHROMATOGRAPHIC SCIENCE,1.3,Q4,Chemistry; Medicine,OXFORD UNIV PRESS INC,United States,92/111,1.4,0.34,0021-9665,1945-239X,J CHROMATOGR SCI,3786,61,62,9.6,8.2,1.2,2024
11740,JOURNAL OF GENERAL MANAGEMENT,1.3,Q4,"Business, Management and Accounting",SAGE PUBLICATIONS LTD,United Kingdom,319/420,1.6,0.34,0306-3070,1759-6106,J GEN MANAG,624,39,39,6.4,10.2,1.2,2024
11740,Journal of Geosciences,1.3,Q3,Earth and Planetary Sciences; Environmental Science,CESKA GEOLOGICKA SPOLECNOST,South Korea,19/31,1.4,0.34,1802-6222,1803-1943,J GEOSCI-CZECH,565,13,13,8.8,17.2,1.3,2024
11740,Kardiochirurgia i Torakochirurgia Polska-Polish Journal of Thoracic and Cardiovascular Surgery,1.3,Q3,Medicine,TERMEDIA PUBLISHING HOUSE LTD,Poland,190/312,1.0,0.34,1731-5530,1897-4252,KARDIOCHIR TORAKOCHI,394,23,33,7.1,7.6,1.1,2024
11740,Neurosciences,1.3,Q4,Medicine,RIYADH ARMED FORCES HOSPITAL,Saudi Arabia,227/285,1.3,0.34,1319-6138,1658-3183,NEUROSCIENCES,880,31,36,8,6.6,1.2,2024
11740,SEMINARS IN INTERVENTIONAL RADIOLOGY,1.3,Q3,Medicine,THIEME MEDICAL PUBL INC,United States,154/212,1.6,0.34,0739-9529,1098-8963,SEMIN INTERVENT RAD,2024,33,35,9.2,7.8,1.2,2024
11740,Southern African Journal of Infectious Diseases,1.3,Q4,,AOSIS,,112/137,1.6,0.34,2312-0053,2313-1810,SOUTH AFR J INFECT D,312,33,34,3.9,6.2,1.3,2024
11740,Brazilian Journal of Botany,1.3,Q3,Agricultural and Biological Sciences,SOC BOTANICA SAO PAULO,Switzerland,174/273,1.4,0.33,0100-8404,1806-9959,BRAZ J BOT,1947,102,107,8.6,12.2,1.2,2024
11740,CHEMICAL & PHARMACEUTICAL BULLETIN,1.3,Q3,"Chemistry; Medicine; Pharmacology, Toxicology and Pharmaceutics",PHARMACEUTICAL SOC JAPAN,Japan,170/239,1.6,0.33,0009-2363,,CHEM PHARM BULL,11090,142,156,21.3,9.7,1.2,2024
11740,Development Southern Africa,1.3,Q3,Social Sciences,TAYLOR & FRANCIS,United Kingdom,42/65,1.8,0.33,0376-835X,1470-3637,DEV SO AFR,1512,58,58,8.3,5.9,1.2,2024
11740,Environmental Justice,1.3,Q4,Environmental Science; Social Sciences,"MARY ANN LIEBERT, INC",United States,155/191,2.1,0.33,1939-4071,1937-5174,ENVIRON JUSTICE,1019,64,64,6.1,7.9,1.2,2024
11740,IETE JOURNAL OF RESEARCH,1.3,Q4,Computer Science; Engineering; Mathematics,TAYLOR & FRANCIS,United Kingdom,281/366,1.5,0.33,0377-2063,0974-780X,IETE J RES,3293,274,274,3.5,5.3,1.2,2024
11740,Journal of Chiropractic Education,1.3,Q3,Health Professions,BRIGHTHALL & ALLEN PRESS PUBL SERVICES,United States,49/86,1.1,0.33,1042-5055,2374-250X,J CHIROPR EDUC,258,26,28,6.9,7.8,0.5,2024
11740,POLAR RESEARCH,1.3,Q3,Earth and Planetary Sciences; Environmental Science,OPEN ACADEMIA AB,United Kingdom,186/258,1.8,0.33,0800-0395,1751-8369,POLAR RES-SWEDEN,1527,18,18,12.9,10.6,1.3,2024
11740,Research in Economics,1.3,Q3,"Economics, Econometrics and Finance",ELSEVIER,United States,332/617,1.1,0.33,1090-9443,1090-9451,RES ECON,636,53,53,8.3,12.5,1.3,2024
11740,Revista da Associacao Medica Brasileira,1.3,Q2,Medicine,ASSOC MEDICA BRASILEIRA,Brazil,150/332,1.3,0.33,0104-4230,1806-9282,REV ASSOC MED BRAS,3162,294,336,4.7,5.7,1.0,2024
11740,SEMINARS IN ROENTGENOLOGY,1.3,Q3,Medicine,ELSEVIER,United States,154/212,0.9,0.33,0037-198X,1558-4658,SEMIN ROENTGENOL,431,26,27,10.4,7.6,1.3,2024
11740,South African Journal of Psychiatry,1.3,Q3,Medicine,AOSIS,South Africa,213/288,1.5,0.33,1608-9685,2078-6786,SAJP-S AFR J PSYCHI,614,52,56,5.3,7.9,1.2,2024
11740,ZEITSCHRIFT FUR NATURFORSCHUNG SECTION A-A JOURNAL OF PHYSICAL SCIENCES,1.3,Q3,Chemistry; Mathematics; Physics and Astronomy,WALTER DE GRUYTER GMBH,Germany,68/114,1.2,0.33,0932-0784,1865-7109,Z NATURFORSCH A,3355,76,77,22.6,8.1,1.2,2024
11740,Botany,1.3,Q3,Agricultural and Biological Sciences; Environmental Science,CANADIAN SCIENCE PUBLISHING,Canada,174/273,1.2,0.32,1916-2790,1916-2804,BOTANY,1919,35,35,10.5,12,1.3,2024
11740,GENETICS AND MOLECULAR BIOLOGY,1.3,Q4,"Biochemistry, Genetics and Molecular Biology",SOC BRASIL GENETICA,Brazil,159/191,1.7,0.32,1415-4757,1678-4685,GENET MOL BIOL,2919,58,71,9,8.6,1.3,2024
11740,HORTICULTURAL SCIENCE,1.3,Q3,Agricultural and Biological Sciences,CZECH ACADEMY AGRICULTURAL SCIENCES,Czech Republic,27/45,1.4,0.32,0862-867X,1805-9333,HORTIC SCI,588,30,32,9.8,8.3,1.2,2024
11740,IEEE Latin America Transactions,1.3,Q3,Computer Science; Engineering,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,United States,191/258,1.0,0.32,1548-0992,1548-0992,IEEE LAT AM T,1841,119,119,4.9,5.8,1.3,2024
11740,INSTRUMENTATION SCIENCE & TECHNOLOGY,1.3,Q4,Chemical Engineering; Environmental Science; Physics and Astronomy,TAYLOR & FRANCIS,United States,60/79,1.5,0.32,1073-9149,1525-6030,INSTRUM SCI TECHNOL,783,48,48,5.7,6.6,1.3,2024
11740,Intangible Capital,1.3,Q4,"Business, Management and Accounting; Social Sciences",OMNIASCIENCE,Spain,319/420,1.3,0.32,2014-3214,1697-9818,INTANG CAP,376,25,27,7.8,8.3,1.2,2024
11740,INTERACTING WITH COMPUTERS,1.3,Q4,Computer Science; Social Sciences,OXFORD UNIV PRESS,United Kingdom,20/24,1.9,0.32,0953-5438,1873-7951,INTERACT COMPUT,1888,62,62,13.6,7.8,1.3,2024
11740,Journal of Clinical Imaging Science,1.3,Q3,Medicine,SCIENTIFIC SCHOLAR LLC,India,154/212,1.2,0.32,2156-7514,2156-5597,J CLIN IMAG SCI,828,41,47,6.7,8.6,1.2,2024
11740,Journal of Instrumentation,1.3,Q4,Mathematics; Physics and Astronomy,IOP Publishing Ltd,United Kingdom,60/79,1.4,0.32,1748-0221,1748-0221,J INSTRUM,12636,979,979,6.1,8.7,1.0,2024
11740,Latin American Journal of Central Banking,1.3,Q3,"Economics, Econometrics and Finance",ELSEVIER,Netherlands,332/617,1.5,0.32,2666-1438,2666-1438,LAT AM J CENT BANK,158,29,29,2.7,8.1,1.2,2024
11740,Quantum Reports,1.3,Q4,Physics and Astronomy,MDPI,Switzerland,22/28,,0.32,,2624-960X,QUANTUM REP,303,40,42,3.3,11.9,1.0,2024
11740,Quarterly Journal of Engineering Geology and Hydrogeology,1.3,Q3,Earth and Planetary Sciences,GEOLOGICAL SOC PUBL HOUSE,United Kingdom,47/65,1.3,0.32,1470-9236,2041-4803,Q J ENG GEOL HYDROGE,1561,58,62,14.6,10.2,1.1,2024
11740,Reviews in Cardiovascular Medicine,1.3,Q3,Medicine,IMR PRESS,United States,167/230,1.8,0.32,1530-6550,2153-8174,REV CARDIOVASC MED,2149,244,458,2.9,6.6,1.2,2024
11740,Romanian Journal of Acoustics and Vibration,1.3,Q3,Engineering; Physics and Astronomy,ROMANIAN SOC ACOUSTICS,Romania,28/41,0.9,0.32,1584-7284,1584-7284,ROM J ACOUST VIB,137,18,18,3.6,7.9,1.0,2024
11740,SCOTTISH JOURNAL OF GEOLOGY,1.3,Q2,Earth and Planetary Sciences,GEOLOGICAL SOC PUBL HOUSE,United Kingdom,23/61,1.1,0.32,0036-9276,2041-4951,SCOT J GEOL,364,13,13,24,22.8,0.9,2024
11740,Turk Psikiyatri Dergisi,1.3,Q3,Medicine,TURKIYE SINIR VE RUH SAGLIGI DERNEGI,Turkey,213/288,1.9,0.32,1300-2163,1300-2163,TURK PSIKIYATR DERG,1295,55,57,13.6,9.4,1.2,2024
11740,Water Economics and Policy,1.3,Q3,"Business, Management and Accounting; Economics, Econometrics and Finance; Environmental Science",WORLD SCIENTIFIC PUBL CO PTE LTD,Singapore,332/617,1.2,0.32,2382-624X,2382-6258,WATER ECON POLICY,250,20,22,4.6,7.5,1.2,2024
11740,BIOMEDICAL RESEARCH-TOKYO,1.3,Q4,"Biochemistry, Genetics and Molecular Biology; Medicine",BIOMEDICAL RESEARCH PRESS LTD,Japan,153/195,1.5,0.31,0388-6107,1880-313X,BIOMED RES-TOKYO,877,25,25,10,10.1,1.2,2024
11740,International Journal of Microwave and Wireless Technologies,1.3,Q4,Engineering,CAMBRIDGE UNIV PRESS,United Kingdom,281/366,1.2,0.31,1759-0787,1759-0795,INT J MICROW WIREL T,1427,127,132,4.1,6.1,1.2,2024
11740,INTERNATIONAL JOURNAL OF STD & AIDS,1.3,Q4,Medicine,SAGE PUBLICATIONS LTD,United Kingdom,112/137,1.3,0.31,0956-4624,1758-1052,INT J STD AIDS,3069,137,146,7.3,7.4,1.2,2024
11740,IT-Information Technology,1.3,Q3,Computer Science,WALTER DE GRUYTER GMBH,Germany,191/258,1.4,0.31,1611-2776,2196-7032,IT-INF TECHNOL,286,14,14,5.5,8.3,1.3,2024
11740,Journal of Transport and Supply Chain Management,1.3,Q4,"Business, Management and Accounting; Decision Sciences; Engineering; Social Sciences",AOSIS,South Africa,319/420,1.3,0.31,2310-8789,1995-5235,J TRANSP SUPPLY CHAI,251,27,28,4.7,5.5,1.2,2024
11740,Physics of Wave Phenomena,1.3,Q3,Physics and Astronomy,PLEIADES PUBLISHING INC,United States,68/114,1.2,0.31,1541-308X,1934-807X,PHYS WAVE PHENOM,442,55,55,4.5,10.5,1.1,2024
11740,SIGMOD RECORD,1.3,Q3,Computer Science,ASSOC COMPUTING MACHINERY,United States,94/128,1.3,0.31,0163-5808,1943-5835,SIGMOD REC,2051,22,22,24.2,5.5,1.2,2024
11740,Foundations of Computing and Decision Sciences,1.3,Q4,Computer Science; Mathematics,SCIENDO,Germany,161/204,1.0,0.3,0867-6356,2300-3405,FOUND COMPUT DECIS S,225,20,20,6.4,6,1.3,2024
11740,Geomatik,1.3,Q3,,Geomatik Journal,,186/258,,0.3,,2564-6761,GEOMATIK,169,26,26,3.5,6.9,0.7,2024
11740,IEEE ELECTRICAL INSULATION MAGAZINE,1.3,Q4,Engineering; Materials Science,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,United States,281/366,2.4,0.3,0883-7554,1558-4402,IEEE ELECTR INSUL M,1797,30,30,14,8.6,1.2,2024
11740,Infocommunications Journal,1.3,Q4,Computer Science; Engineering,SCIENTIFIC ASSOC INFOCOMMUNICATIONS,Hungary,97/120,1.1,0.3,2061-2079,2061-2125,INFOCOMMUNICATIONS J,215,39,42,2.7,6.2,1.0,2024
11740,Soccer & Society,1.3,Q3,Psychology; Social Sciences,TAYLOR & FRANCIS,United Kingdom,93/139,1.4,0.3,1466-0970,1743-9590,SOCCER SOC,1260,64,64,7.6,10.9,1.1,2024
11740,Traditional Medicine Research,1.3,Q3,Medicine,TMR PUBLISHING GROUP,New Zealand,29/45,1.1,0.3,2413-3973,2413-3973,TRADIT MED RES,318,59,72,2.6,5.9,1.2,2024
11740,ZEITSCHRIFT FUR ARBEITS-UND ORGANISATIONSPSYCHOLOGIE,1.3,Q3,"Business, Management and Accounting; Psychology",HOGREFE VERLAG,Germany,83/115,1.3,0.3,0932-4089,2190-6270,Z ARB ORGAN,258,10,10,8.3,10.8,1.3,2024
11740,Australian Journal of Mechanical Engineering,1.3,Q4,Engineering,TAYLOR & FRANCIS,United Kingdom,137/182,1.5,0.29,1448-4846,2204-2253,AUST J MECH ENG,902,31,31,4.2,7.6,1.2,2024
11740,CHINESE JOURNAL OF ANALYTICAL CHEMISTRY,1.3,Q4,Chemistry,SCIENCE PRESS,China,92/111,1.0,0.29,0253-3820,1872-2040,CHINESE J ANAL CHEM,2671,253,260,5.4,5.2,1.1,2024
11740,Coupled Systems Mechanics,1.3,Q3,Engineering,TECHNO-PRESS,South Korea,127/171,1.2,0.29,2234-2184,2234-2192,COUPLED SYST MEC,309,28,28,4.2,8.5,1.0,2024
11740,International Journal of Innovation and Technology Management,1.3,Q4,"Business, Management and Accounting",WORLD SCIENTIFIC PUBL CO PTE LTD,Singapore,319/420,2.3,0.29,0219-8770,1793-6950,INT J INNOV TECHNOL,1223,38,42,5.2,6.1,1.1,2024
11740,Journal of Accounting Auditing and Finance,1.3,Q3,"Business, Management and Accounting; Economics, Econometrics and Finance",SAGE PUBLICATIONS INC,United Kingdom,160/241,1.9,0.29,0148-558X,2160-4061,J ACCOUNT AUDIT FINA,1453,31,31,9.7,12.9,1.2,2024
11740,Journal of Information and Communication Technology-Malaysia,1.3,Q3,Computer Science; Mathematics,UNIV UTARA MALAYSIA PRESS,Malaysia,191/258,1.1,0.29,1675-414X,2180-3862,J INF COMMUN TECHNOL,211,23,24,3.8,5.3,0.9,2024
11740,Technology in Horticulture,1.3,Q3,,Maximum Academic Press,,27/45,1.3,0.29,,2833-4337,TECHNOL HORTIC,54,25,31,,8.8,1.2,2024
11740,Turkish Journal of Hematology,1.3,Q3,Medicine,GALENOS PUBL HOUSE,Turkey,73/98,1.6,0.29,1300-7777,1308-5263,TURK J HEMATOL,661,20,22,7.2,6.8,1.3,2024
11740,ACTA POLYMERICA SINICA,1.3,Q4,Chemical Engineering; Chemistry; Materials Science,SCIENCE PRESS,China,80/94,1.0,0.28,,1000-3304,ACTA POLYM SIN,1202,132,146,4.3,5.7,1.1,2024
11740,BIOSCIENCE BIOTECHNOLOGY AND BIOCHEMISTRY,1.3,Q3,"Biochemistry, Genetics and Molecular Biology; Chemistry; Immunology and Microbiology; Medicine",OXFORD UNIV PRESS,United States,55/75,1.8,0.28,0916-8451,1347-6947,BIOSCI BIOTECH BIOCH,13517,158,198,14.6,11.1,1.3,2024
11740,CANADIAN JOURNAL OF CIVIL ENGINEERING,1.3,Q3,Engineering; Environmental Science,CANADIAN SCIENCE PUBLISHING,Canada,130/183,1.4,0.28,0315-1468,1208-6029,CAN J CIVIL ENG,4548,98,99,14.5,7.4,1.2,2024
11740,CORROSION,1.3,Q3,Chemical Engineering; Chemistry; Materials Science,NATL ASSOC CORROSION ENG,United States,59/96,1.6,0.28,0010-9312,1938-159X,CORROSION-US,6514,102,103,20.6,10.8,1.1,2024
11740,CYTOGENETIC AND GENOME RESEARCH,1.3,Q4,"Biochemistry, Genetics and Molecular Biology; Medicine",KARGER,Switzerland,159/191,1.5,0.28,1424-8581,1424-859X,CYTOGENET GENOME RES,2363,31,36,15,11.8,1.2,2024
11740,Hepatic Oncology,1.3,Q4,Medicine,TAYLOR & FRANCIS,United Kingdom,273/326,3.4,0.28,2045-0923,2045-0931,HEPAT ONCOL,261,4,5,6.7,6.5,1.3,2024
11740,Investigaciones Regionales-Journal of Regional Research,1.3,Q3,"Economics, Econometrics and Finance; Social Sciences",ASOC ESPANOLA CIENCIA REGIONAL-AECR,Spain,332/617,1.0,0.28,1695-7253,2340-2717,INVESTIG REG,327,28,28,6.9,10.5,1.2,2024
11740,Journal of Aquatic Food Product Technology,1.3,Q4,Agricultural and Biological Sciences,TAYLOR & FRANCIS,United States,141/181,1.8,0.28,1049-8850,1547-0636,J AQUAT FOOD PROD T,1747,41,45,6.5,8.3,1.3,2024
11740,Journal of Hematology,1.3,Q3,Medicine,ELMER PRESS INC,Netherlands,73/98,1.2,0.28,1927-1212,1927-1220,J HEMATOL,269,41,44,3.8,8,1.3,2024
11740,JOURNAL OF PLANT PROTECTION RESEARCH,1.3,Q3,Agricultural and Biological Sciences,"INST OCHRONY ROSLIN, PANSTWOWY INST BADAWCZY",Poland,76/129,,0.28,1427-4345,1899-007X,J PLANT PROTECT RES,1054,47,49,8.5,7.5,1.1,2024
11740,Management Research-The Journal of the Iberoamerican Academy of Management,1.3,Q4,"Business, Management and Accounting",EMERALD GROUP PUBLISHING LTD,United Kingdom,319/420,1.6,0.28,1536-5433,1558-0946,MANAG RES,411,33,33,6.6,8.2,0.9,2024
11740,Technical Services Quarterly,1.3,Q2,Computer Science; Social Sciences,TAYLOR & FRANCIS,United States,83/166,0.8,0.28,0731-7131,1555-3337,TECH SERV Q,179,43,43,6.3,5.5,1.1,2024
11740,FARMACIA HOSPITALARIA,1.3,Q4,"Health Professions; Medicine; Pharmacology, Toxicology and Pharmaceutics",ELSEVIER,Netherlands,284/352,1.3,0.27,1130-6343,2171-8695,FARM HOSP,566,80,89,4.9,5.9,1.1,2024
11740,Foods and Raw Materials,1.3,Q4,Agricultural and Biological Sciences,KEMEROVO STATE UNIV,Russian Federation,141/181,1.1,0.27,2308-4057,2310-9599,FOOD RAW MATER,358,27,35,3.9,6,1.1,2024
11740,Indian Journal of Medical Microbiology,1.3,Q4,Immunology and Microbiology; Medicine,ELSEVIER,India,159/183,1.3,0.27,0255-0857,1998-3646,INDIAN J MED MICROBI,2032,142,151,8,7.3,1.2,2024
11740,Journal of Cancer Research and Therapeutics,1.3,Q4,Medicine,WOLTERS KLUWER MEDKNOW PUBLICATIONS,India,273/326,1.4,0.27,0973-1482,1998-4138,J CANCER RES THER,5027,332,350,5.6,8,0.9,2024
11740,Journal of the Saudi Heart Association,1.3,Q3,Medicine,DIGITAL COMMONS BEPRESS,Saudi Arabia,167/230,1.1,0.27,1016-7315,2212-5043,J SAUDI HEART ASSOC,520,39,43,6.3,7,1.2,2024
11740,POLISH JOURNAL OF ENVIRONMENTAL STUDIES,1.3,Q4,Environmental Science,HARD,Poland,322/374,1.4,0.27,1230-1485,2083-5906,POL J ENVIRON STUD,6618,500,515,5.6,5.3,1.1,2024
11740,SCIENCE OF SINTERING,1.3,Q3,Materials Science; Physics and Astronomy,INT INST SCIENCE SINTERING (I I S S),Serbia,20/33,1.2,0.27,0350-820X,,SCI SINTER,660,39,39,7.7,8.1,0.7,2024
11740,Aviation,1.3,Q3,Engineering,VILNIUS GEDIMINAS TECH UNIV,Lithuania,33/55,1.0,0.26,1648-7788,1822-4180,AVIATION,232,28,29,4.7,5.7,1.2,2024
11740,eCancerMedicalScience,1.3,Q4,"Biochemistry, Genetics and Molecular Biology; Medicine",eCancer Global Foundation,United Kingdom,273/326,1.8,0.26,1754-6605,1754-6605,ECANCERMEDICALSCIENC,2392,161,173,5.5,6.8,1.2,2024
11740,Entrepreneurship and Sustainability Issues,1.3,Q3,,ENTERPRENEURSHIP & SUSTAINABILITY CENTER,,234/316,1.3,0.26,2345-0282,2345-0282,ENTREP SUSTAIN ISS,1379,108,114,4.4,4.1,1.2,2024
11740,Hipertension y Riesgo Vascular,1.3,Q3,Medicine,ELSEVIER,Spain,167/230,0.9,0.26,1889-1837,1989-4805,HIPERTEN RIESGO VASC,164,26,32,3.7,8.4,1.1,2024
11740,Journal of Applied Fluid Mechanics,1.3,Q3,Engineering; Physics and Astronomy,ISFAHAN UNIV TECHNOLOGY,Iran,127/171,1.2,0.26,1735-3572,1735-3645,J APPL FLUID MECH,2109,195,195,5.7,8.2,1.0,2024
